file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/XRP.java,FactoryAndPrototype.XRP,"XRP/2[java.util.Date,double]",price,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/XRP.java,FactoryAndPrototype.XRP,"XRP/2[java.util.Date,double]",dOC,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/Client.java,FactoryAndPrototype.Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/Client.java,FactoryAndPrototype.Client,main/1[java.lang.String[]],wallet,8
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/Client.java,FactoryAndPrototype.Client,main/1[java.lang.String[]],crypto,2
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,(initializer 1),btc,2
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,(initializer 1),xrp,2
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,(initializer 1),eth,2
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,mine/1[java.lang.String],e,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,mine/1[java.lang.String],name,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/MiningPool.java,FactoryAndPrototype.MiningPool,mine/1[java.lang.String],cryptoCurrency,2
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/BTC.java,FactoryAndPrototype.BTC,"BTC/2[java.util.Date,double]",price,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/BTC.java,FactoryAndPrototype.BTC,"BTC/2[java.util.Date,double]",dOC,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/ETH.java,FactoryAndPrototype.ETH,"ETH/2[java.util.Date,double]",price,1
/root/DesignPatternsDetection/Data/Prototype/quanguefa23_Study-Design-Pattern/ckmetrics/../JavaDesignPattern/src/FactoryAndPrototype/ETH.java,FactoryAndPrototype.ETH,"ETH/2[java.util.Date,double]",dOC,1
